INFO  - 2013-11-22 01:20:10.383; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/poi-scratchpad-3.8.jar' to classloader
INFO  - 2013-11-22 01:20:10.383; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-11-22 01:20:10.384; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2013-11-22 01:20:10.384; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-11-22 01:20:10.384; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2013-11-22 01:20:10.384; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-11-22 01:20:10.384; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2013-11-22 01:20:10.385; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
WARN  - 2013-11-22 01:20:10.386; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /opt/solr/collection1/../../../contrib/velocity/lib).
WARN  - 2013-11-22 01:20:10.386; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /opt/solr/collection1/../../../dist).
WARN  - 2013-11-22 01:20:10.386; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: /non/existent/dir/yields/warning (resolved as: /non/existent/dir/yields/warning).
INFO  - 2013-11-22 01:20:10.390; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.390; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-11-22 01:20:10.391; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/poi-3.8.jar' to classloader
INFO  - 2013-11-22 01:20:10.391; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.391; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.391; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/poi-ooxml-3.8.jar' to classloader
INFO  - 2013-11-22 01:20:10.392; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/extraction/lib/tika-parsers-1.3.jar' to classloader
